ISim log file
Running: D:\repo\avmis\SCHEME_TEST_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/repo/avmis/SCHEME_TEST_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 500000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
at 19430 ns: Error: Test error!
at 19525 ns: Error: Test error!
at 19580 ns: Error: Test error!
at 19635 ns: Error: Test error!
at 20025 ns: Error: Test error!
at 20120 ns: Error: Test error!
at 20175 ns: Error: Test error!
at 20230 ns: Error: Test error!
at 20620 ns: Error: Test error!
at 20715 ns: Error: Test error!
at 20770 ns: Error: Test error!
at 20825 ns: Error: Test error!
at 21215 ns: Error: Test error!
at 21310 ns: Error: Test error!
at 21365 ns: Error: Test error!
at 21420 ns: Error: Test error!
at 21810 ns: Error: Test error!
at 21905 ns: Error: Test error!
at 21960 ns: Error: Test error!
at 22015 ns: Error: Test error!
at 22405 ns: Error: Test error!
at 22500 ns: Error: Test error!
at 22555 ns: Error: Test error!
at 22610 ns: Error: Test error!
at 23 us: Error: Test error!
at 23095 ns: Error: Test error!
at 23150 ns: Error: Test error!
at 23205 ns: Error: Test error!
at 23595 ns: Error: Test error!
at 23690 ns: Error: Test error!
at 23745 ns: Error: Test error!
at 23800 ns: Error: Test error!
at 24190 ns: Error: Test error!
at 24285 ns: Error: Test error!
at 24340 ns: Error: Test error!
at 24395 ns: Error: Test error!
at 24785 ns: Error: Test error!
at 24880 ns: Error: Test error!
at 24935 ns: Error: Test error!
at 24990 ns: Error: Test error!
at 25380 ns: Error: Test error!
at 25475 ns: Error: Test error!
at 25530 ns: Error: Test error!
at 25585 ns: Error: Test error!
at 25975 ns: Error: Test error!
at 26070 ns: Error: Test error!
at 26125 ns: Error: Test error!
at 26180 ns: Error: Test error!
at 26570 ns: Error: Test error!
at 26665 ns: Error: Test error!
at 26720 ns: Error: Test error!
at 26775 ns: Error: Test error!
at 27165 ns: Error: Test error!
at 27260 ns: Error: Test error!
at 27315 ns: Error: Test error!
at 27370 ns: Error: Test error!
at 27760 ns: Error: Test error!
at 27855 ns: Error: Test error!
at 27910 ns: Error: Test error!
at 27965 ns: Error: Test error!
at 28355 ns: Error: Test error!
at 28450 ns: Error: Test error!
at 28505 ns: Error: Test error!
at 28560 ns: Error: Test error!
at 28950 ns: Error: Test error!
at 29045 ns: Error: Test error!
at 29100 ns: Error: Test error!
at 29155 ns: Error: Test error!
at 29545 ns: Error: Test error!
at 29640 ns: Error: Test error!
at 29695 ns: Error: Test error!
at 29750 ns: Error: Test error!
at 30140 ns: Error: Test error!
at 30235 ns: Error: Test error!
at 30290 ns: Error: Test error!
at 30345 ns: Error: Test error!
at 30735 ns: Error: Test error!
at 30830 ns: Error: Test error!
at 30885 ns: Error: Test error!
at 30940 ns: Error: Test error!
at 31330 ns: Error: Test error!
at 31425 ns: Error: Test error!
at 31480 ns: Error: Test error!
at 31535 ns: Error: Test error!
at 31925 ns: Error: Test error!
at 32020 ns: Error: Test error!
